%eval_id                 interface                A1                       Width                    A2                       footStepCount            personOnTrain            personOnStation          time                     
107                      NO_ID                    40                       3.3                      20                       24.024                   900                      50                       2.07054315979265         
108                      NO_ID                    40                       3.3                      20                       24                       900.9                    50                       2.07167004732928         
109                      NO_ID                    40                       3.3                      20                       24                       900                      50.05                    2.07054315979265         
110                      NO_ID                    39.84                    3.3                      20                       24                       900                      50                       2.07054315979265         
111                      NO_ID                    39.68                    3.3                      20                       24                       900                      50                       2.07054315979265         
112                      NO_ID                    40                       3.2868                   20                       24                       900                      50                       2.07082987286206         
113                      NO_ID                    40                       3.2736                   20                       24                       900                      50                       2.0711167395477          
114                      NO_ID                    39.84                    3.2868                   20                       24                       900                      50                       2.07082987286206         
115                      NO_ID                    40                       3.3                      20.08                    24                       900                      50                       2.07054315979265         
116                      NO_ID                    40                       3.3                      20.16                    24                       900                      50                       2.07054315979265         
117                      NO_ID                    39.84                    3.3                      20.08                    24                       900                      50                       2.07054315979265         
118                      NO_ID                    40                       3.2868                   20.08                    24                       900                      50                       2.07082987286206         
119                      NO_ID                    40                       3.3                      20                       24.096                   900                      50                       2.07054315979265         
120                      NO_ID                    40                       3.3                      20                       23.904                   900                      50                       2.07054315979265         
121                      NO_ID                    39.84                    3.3                      20                       24.096                   900                      50                       2.07054315979265         
122                      NO_ID                    40                       3.2868                   20                       24.096                   900                      50                       2.07082987286206         
123                      NO_ID                    40                       3.3                      20.08                    24.096                   900                      50                       2.07054315979265         
124                      NO_ID                    40                       3.3                      20                       24                       903.6                    50                       2.07505070993915         
125                      NO_ID                    40                       3.3                      20                       24                       896.4                    50                       2.06603560964616         
126                      NO_ID                    39.84                    3.3                      20                       24                       903.6                    50                       2.07505070993915         
127                      NO_ID                    40                       3.2868                   20                       24                       903.6                    50                       2.07533863022148         
128                      NO_ID                    40                       3.3                      20.08                    24                       903.6                    50                       2.07505070993915         
129                      NO_ID                    40                       3.3                      20                       24.096                   903.6                    50                       2.07505070993915         
130                      NO_ID                    40                       3.3                      20                       24                       900                      50.2                     2.07054315979265         
131                      NO_ID                    40                       3.3                      20                       24                       900                      49.8                     2.07054315979265         
132                      NO_ID                    39.84                    3.3                      20                       24                       900                      50.2                     2.07054315979265         
133                      NO_ID                    40                       3.2868                   20                       24                       900                      50.2                     2.07082987286206         
134                      NO_ID                    40                       3.3                      20.08                    24                       900                      50.2                     2.07054315979265         
135                      NO_ID                    40                       3.3                      20                       24.096                   900                      50.2                     2.07054315979265         
136                      NO_ID                    40                       3.3                      20                       24                       903.6                    50.2                     2.07505070993915         
